Date,Timestamp,Open,High,Low,Close,Volume
20190410,22:00:00,1.30854,1.30962,1.30848,1.30879,1990.029998
20190410,23:00:00,1.30879,1.30982,1.30875,1.30971,2223.729997
20190411,00:00:00,1.30971,1.31014,1.30869,1.30966,4261.629989
20190411,01:00:00,1.30966,1.31002,1.30902,1.30919,1989.609998
20190411,02:00:00,1.30919,1.31033,1.30919,1.30983,2390.309998
20190411,03:00:00,1.30983,1.31015,1.30931,1.30992,1822.710001
20190411,04:00:00,1.30992,1.31082,1.3096,1.3106,1923.200001
20190411,05:00:00,1.31061,1.31073,1.30946,1.30961,3628.050005
20190411,06:00:00,1.30965,1.31004,1.30774,1.3084,11714.27997
20190411,07:00:00,1.30837,1.3109,1.30814,1.30982,15941.22998
20190411,08:00:00,1.30983,1.31006,1.30579,1.30787,13267.77999
20190411,09:00:00,1.30787,1.30934,1.3075,1.30899,9015.979982
20190411,10:00:00,1.309,1.30993,1.30795,1.30961,7673.579988
20190411,11:00:00,1.30961,1.30983,1.30746,1.30775,10496.92998
20190411,12:00:00,1.30775,1.3081,1.30643,1.30775,18100.70998
20190411,13:00:00,1.30774,1.30855,1.30688,1.30805,14086.28998
20190411,14:00:00,1.30807,1.30952,1.30705,1.30856,15112.52996
20190411,15:00:00,1.30856,1.30885,1.30637,1.30662,11047.58996
20190411,16:00:00,1.30664,1.30845,1.30612,1.30665,5929.41999
20190411,17:00:00,1.30665,1.30735,1.30535,1.30645,5737.649986
20190411,18:00:00,1.30646,1.30646,1.30514,1.30567,4332.33999
20190411,19:00:00,1.30566,1.30594,1.30526,1.30577,3726.75999
20190411,20:00:00,1.30577,1.30597,1.30501,1.30512,2836.419994
20190411,21:00:00,1.30512,1.30546,1.30502,1.30526,1870.360004
20190411,22:00:00,1.30537,1.30585,1.30535,1.3056,1909.000002
20190411,23:00:00,1.3056,1.30614,1.30541,1.30544,2040.999995
20190412,00:00:00,1.30543,1.30608,1.30502,1.30598,3790.669992
20190412,01:00:00,1.30596,1.30652,1.30571,1.3064,2631.419999
20190412,02:00:00,1.30638,1.30729,1.30638,1.30681,2382.689998
20190412,03:00:00,1.30681,1.30805,1.30664,1.30758,3096.60999
20190412,04:00:00,1.30758,1.30758,1.30722,1.30735,1225.330002
20190412,05:00:00,1.30734,1.30734,1.30606,1.30608,1685.439998
